2024-05-02 12:16:57 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:57 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:57 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:57 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:57 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:58 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:58 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:59 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - JSqlParser is in classpath; If applicable, JSqlParser will be used
2024-05-02 12:16:59 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-02 12:16:59 [main] INFO  i.DependencyGroupTypeBuildQueryTest - Started DependencyGroupTypeBuildQueryTest in 7.132 seconds (process running for 8.52)
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group types: [DependencyGroupTypeDTO{name='lightning', dependencyTypes=[DependencyTypeDTO{name='sklearn-contrib-lightning}]}, DependencyGroupTypeDTO{name='catboost', dependencyTypes=[DependencyTypeDTO{name='catboost}]}, DependencyGroupTypeDTO{name='sktime', dependencyTypes=[DependencyTypeDTO{name='sktime}, DependencyTypeDTO{name='pmdarima}]}, DependencyGroupTypeDTO{name='statsforecast', dependencyTypes=[DependencyTypeDTO{name='statsforecast}]}, DependencyGroupTypeDTO{name='darts', dependencyTypes=[DependencyTypeDTO{name='darts}, DependencyTypeDTO{name='tensorboardx}, DependencyTypeDTO{name='holidays}, DependencyTypeDTO{name='ipython}]}, DependencyGroupTypeDTO{name='huggingface', dependencyTypes=[DependencyTypeDTO{name='transformers}, DependencyTypeDTO{name='datasets}]}, DependencyGroupTypeDTO{name='intelex', dependencyTypes=[DependencyTypeDTO{name='scikit-learn-intelex}]}, DependencyGroupTypeDTO{name='lightgbm', dependencyTypes=[DependencyTypeDTO{name='lightgbm}]}, DependencyGroupTypeDTO{name='xgboost', dependencyTypes=[DependencyTypeDTO{name='xgboost}]}, DependencyGroupTypeDTO{name='base', dependencyTypes=[]}, DependencyGroupTypeDTO{name='stacking', dependencyTypes=[DependencyTypeDTO{name='mrmr-selection}, DependencyTypeDTO{name='polars}]}]
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: lightning
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: catboost
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: sktime
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: statsforecast
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: darts
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: huggingface
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: intelex
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: lightgbm
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: xgboost
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: base
